id,answer
0,0
1,1
2,0
3,0
4,1
5,1
6,0
7,0
8,0
9,0
10,0
11,0
12,1
13,0
14,1
15,0
16,0
17,1
18,0
19,0
20,1
21,1
22,1
23,0
24,1
25,1
26,0
27,1
28,0
29,1
30,0
31,0
32,1
33,1
34,0
35,0
36,0
37,1
38,1
39,1
40,0
41,0
42,1
43,1
44,1
45,1
46,0
47,0
48,0
49,1
50,1
51,0
52,1
53,1
54,0
55,0
56,1
57,0
58,1
59,1
60,1
61,0
62,1
63,1
64,1
65,1
66,1
67,1
68,0
69,1
70,1
71,1
72,0
73,0
74,1
75,1
76,0
77,0
78,0
79,0
80,1
81,1
82,0
83,1
84,1
85,1
86,1
87,0
88,1
89,1
90,1
91,0
92,1
93,0
94,0
95,1
96,0
97,0
98,0
99,0
100,1
101,1
102,0
103,0
104,0
105,1
106,0
107,1
108,1
109,1
110,1
111,1
112,1
113,0
114,1
115,0
116,1
117,1
118,0
119,0
120,0
121,1
122,1
123,0
124,1
125,1
126,1
127,0
128,1
129,1
130,0
131,1
132,1
133,0
134,0
135,0
136,0
137,0
138,1
139,1
140,1
141,0
142,0
143,0
144,0
145,1
146,0
147,1
148,1
149,0
150,1
151,1
152,1
153,0
154,1
155,1
156,1
157,1
158,0
159,0
160,1
161,0
162,0
163,1
164,1
165,1
166,1
167,1
168,0
169,0
170,1
171,1
172,1
173,1
174,0
175,1
176,0
177,1
178,1
179,0
180,0
181,1
182,1
183,1
184,0
185,1
186,0
187,1
188,1
189,1
190,1
191,1
192,0
193,0
194,0
195,1
196,0
197,0
198,1
199,1
200,0
201,0
202,0
203,1
204,1
205,0
206,0
207,1
208,0
209,1
210,1
211,0
212,1
213,1
214,1
215,1
216,1
217,1
218,0
219,1
220,1
221,1
222,0
223,0
224,0
225,1
226,0
227,0
228,0
229,0
230,0
231,1
232,0
233,1
234,0
235,1
236,0
237,1
238,0
239,0
240,0
241,0
242,1
243,0
244,0
245,1
246,0
247,0
248,0
249,1
250,1
251,0
252,1
253,1
254,0
255,1
256,0
257,1
258,0
259,0
260,0
261,1
262,0
263,1
264,1
265,0
266,1
267,1
268,0
269,0
270,0
271,1
272,1
273,1
274,1
275,1
276,1
277,1
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,1
286,1
287,0
288,1
289,0
290,1
291,1
292,1
293,1
294,1
295,0
296,1
297,1
298,1
299,1
300,0
301,0
302,1
303,1
304,1
305,1
306,0
307,1
308,0
309,0
310,1
311,1
312,1
313,1
314,1
315,1
316,1
317,0
318,1
319,0
320,1
321,0
322,1
323,0
324,1
325,0
326,1
327,1
328,0
329,1
330,1
331,1
332,0
333,0
334,0
335,1
336,1
337,0
338,1
339,1
340,1
341,1
342,0
343,1
344,1
345,1
346,0
347,1
348,1
349,1
350,0
351,1
352,1
353,1
354,1
355,1
356,0
357,0
358,1
359,0
360,1
361,0
362,1
363,1
364,0
365,1
366,0
367,1
368,1
369,0
370,1
371,1
372,1
373,0
374,0
375,1
376,0
377,1
378,0
379,0
380,0
381,0
382,1
383,1
384,1
385,0
386,1
387,1
388,0
389,0
390,1
391,0
392,0
393,0
394,0
395,1
396,1
397,1
398,1
399,1
400,0
401,0
402,1
403,1
404,0
405,0
406,0
407,1
408,0
409,0
410,1
411,0
412,1
413,0
414,1
415,1
416,0
417,0
418,1
419,1
420,0
421,1
422,0
423,0
424,1
425,1
426,0
427,0
428,1
429,1
430,0
431,1
432,1
433,1
434,1
435,0
436,0
437,0
438,0
439,1
440,0
441,1
442,1
443,1
444,1
445,0
446,1
447,1
448,0
449,1
450,1
451,1
452,1
453,1
454,1
455,1
456,1
457,0
458,0
459,0
460,0
461,1
462,1
463,1
464,1
465,1
466,1
467,0
468,1
469,1
470,0
471,1
472,0
473,1
474,1
475,1
476,0
477,1
478,1
479,1
480,1
481,0
482,0
483,0
484,1
485,0
486,1
487,0
488,1
489,0
490,0
491,1
492,0
493,1
494,0
495,0
496,0
497,0
498,1
499,1
500,1
501,0
502,1
503,0
504,0
505,1
506,1
507,0
508,0
509,1
510,0
511,1
512,1
513,1
514,0
515,1
516,1
517,1
518,0
519,1
520,1
521,1
522,0
523,0
524,1
525,0
526,0
527,1
528,1
529,0
530,1
531,1
532,1
533,1
534,1
535,0
536,1
537,1
538,0
539,1
540,0
541,1
542,1
543,0
544,1
545,1
546,0
547,0
548,0
549,1
550,0
551,0
552,1
553,1
554,1
555,1
556,0
557,0
558,1
559,1
560,0
561,0
562,0
563,1
564,0
565,0
566,0
567,1
568,1
569,0
570,1
571,1
572,0
573,1
574,1
575,0
576,1
577,0
578,1
579,1
580,0
581,0
582,0
583,1
584,0
585,1
586,0
587,0
588,1
589,0
590,1
591,0
592,1
593,1
594,1
595,0
596,0
597,0
598,1
599,0
600,0
601,1
602,1
603,0
604,1
605,1
606,1
607,1
608,1
609,0
610,0
611,1
612,1
613,1
614,0
615,0
616,1
617,1
618,0
619,0
620,1
621,0
622,1
623,0
624,1
625,1
626,0
627,1
628,1
629,1
630,1
631,1
632,1
633,0
634,0
635,0
636,1
637,1
638,1
639,1
640,0
641,1
642,1
643,0
644,1
645,1
646,1
647,0
648,0
649,1
650,1
651,0
652,0
653,1
654,1
655,1
656,1
657,0
658,1
659,0
660,1
661,0
662,1
663,1
664,0
665,1
666,1
667,0
668,1
669,1
670,1
671,0
672,0
673,1
674,0
675,1
676,1
677,1
678,0
679,0
680,1
681,0
682,1
683,1
684,1
685,1
686,0
687,0
688,0
689,1
690,1
691,1
692,1
693,0
694,1
695,1
696,1
697,1
698,1
699,1
700,1
701,1
702,0
703,1
704,1
705,1
706,1
707,0
708,1
709,1
710,0
711,1
712,1
713,1
714,1
715,0
716,1
717,1
718,1
719,0
720,1
721,1
722,1
723,1
724,1
725,1
726,0
727,0
728,1
729,1
730,0
731,1
732,0
733,1
734,1
735,1
736,1
737,0
738,0
739,1
740,1
741,1
742,1
743,1
744,1
745,0
746,0
747,0
748,1
749,1
750,0
751,1
752,1
753,0
754,1
755,1
756,1
757,1
758,1
759,0
760,1
761,1
762,1
763,1
764,1
765,1
766,0
767,1
768,1
769,1
770,0
771,1
772,1
773,1
774,1
775,0
776,1
777,1
778,1
779,1
780,1
781,0
782,1
783,1
784,1
785,1
786,1
787,0
788,1
789,1
790,1
791,0
792,0
793,0
794,0
795,0
796,0
797,1
798,0
799,1
800,1
801,0
802,1
803,1
804,0
805,1
806,0
807,0
808,0
809,1
810,0
811,1
812,1
813,0
814,0
815,1
816,0
817,0
818,1
819,0
820,1
821,1
822,1
823,1
824,0
825,0
826,1
827,0
828,1
829,0
830,0
831,0
832,0
833,0
834,1
835,1
836,1
837,0
838,0
839,0
840,1
841,1
842,0
843,0
844,1
845,0
846,0
847,0
848,1
849,0
850,1
851,1
852,1
853,1
854,0
855,1
856,1
857,1
858,0
859,0
860,1
861,1
862,0
863,1
864,1
865,1
866,1
867,0
868,0
869,0
870,1
871,0
872,0
873,0
874,1
875,0
876,1
877,0
878,0
879,1
880,1
881,0
882,1
883,1
884,1
885,1
886,0
887,0
888,1
889,1
890,1
891,1
892,0
893,1
894,1
895,1
896,1
897,0
898,0
899,0
900,0
901,0
902,0
903,1
904,1
905,1
906,1
907,0
908,1
909,0
910,0
911,0
912,1
913,1
914,1
915,0
916,1
917,1
918,1
919,1
920,1
921,1
922,0
923,0
924,1
925,1
926,0
927,1
928,0
929,0
930,1
931,1
932,1
933,1
934,0
935,1
936,0
937,0
938,1
939,1
940,1
941,0
942,1
943,0
944,0
945,1
946,0
947,1
948,1
949,1
950,1
951,0
952,1
953,0
954,0
955,0
956,1
957,1
958,1
959,1
960,0
961,1
962,0
963,1
964,0
965,1
966,0
967,0
968,1
969,1
970,0
971,0
972,0
973,1
974,1
975,0
976,1
977,1
978,0
979,0
980,0
981,0
982,1
983,1
984,0
985,0
986,0
987,1
988,1
989,0
990,1
991,1
992,1
993,0
994,1
995,1
996,1
997,1
998,0
999,1
1000,1
1001,1
1002,1
1003,0
1004,0
1005,1
1006,1
1007,0
1008,0
1009,0
1010,0
1011,1
1012,0
1013,1
1014,1
1015,1
1016,1
1017,1
1018,0
1019,0
1020,1
1021,1
1022,0
1023,1
1024,1
1025,0
1026,1
1027,0
1028,1
1029,0
1030,0
1031,1
1032,0
1033,0
1034,0
1035,0
1036,1
1037,1
1038,1
1039,0
1040,0
1041,1
1042,0
1043,0
1044,0
1045,0
1046,1
1047,1
1048,1
1049,1
1050,1
1051,1
1052,1
1053,1
1054,1
1055,1
1056,0
1057,0
1058,1
1059,1
1060,1
